농장,화방번호,날짜,개화수,착과수,수확수,개당무게,총무게,초장,잎길이,잎폭,잎수
명성호,2,1,2.06 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,2,2,3.88 ,2.94 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,2,3,2.63 ,7.38 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,2,4,1.06 ,11.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,2,5,0.13 ,11.88 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,2,6,0.00 ,12.00 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,2,7,0.00 ,9.63 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,2,8,0.00 ,11.94 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,2,9,0.00 ,8.50 ,3.06 ,14.22 ,42.68 ,213.1,23.9,14.3,17.1
명성호,2,10,0.00 ,4.31 ,3.50 ,12.21 ,46.19 ,230.1,25.7,16,17.6
명성호,2,11,0.00 ,0.81 ,0.81 ,4.35 ,9.19 ,245,25.5,17.5,20.1
명성호,2,12,0.00 ,0.19 ,0.06 ,0.24 ,0.24 ,254.1,26.8,18.9,20.1
명성호,2,13,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,254.1,26.8,19.9,20.6
명성호,2,14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,254.1,27.3,20.1,21.1
명성호,2,15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,254.1,24.5,18.8,22.4
명성호,3,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,3,2,0.75 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,3,3,3.50 ,1.44 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,3,4,3.69 ,7.69 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,3,5,2.00 ,12.06 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,3,6,0.19 ,14.13 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,3,7,0.00 ,11.13 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,3,8,0.00 ,14.25 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,3,9,0.00 ,14.25 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,3,10,0.00 ,10.75 ,4.63 ,13.28 ,65.07 ,230.1,25.7,16,17.6
명성호,3,11,0.00 ,5.19 ,4.13 ,11.10 ,51.64 ,245,25.5,17.5,20.1
명성호,3,12,0.00 ,0.88 ,1.06 ,4.21 ,11.57 ,254.1,26.8,18.9,20.1
명성호,3,13,0.00 ,0.00 ,0.19 ,1.02 ,3.06 ,254.1,26.8,19.9,20.6
명성호,3,14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,254.1,27.3,20.1,21.1
명성호,3,15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,254.1,24.5,18.8,22.4
명성호,4,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,4,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,4,3,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,4,4,3.25 ,0.69 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,4,5,4.00 ,5.75 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,4,6,1.69 ,11.13 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,4,7,0.13 ,12.44 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,4,8,0.00 ,13.19 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,4,9,0.00 ,13.19 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,4,10,0.00 ,13.13 ,2.63 ,7.96 ,37.61 ,230.1,25.7,16,17.6
명성호,4,11,0.00 ,10.88 ,6.50 ,13.44 ,84.22 ,245,25.5,17.5,20.1
명성호,4,12,0.00 ,3.25 ,3.13 ,11.13 ,36.14 ,254.1,26.8,18.9,20.1
명성호,4,13,0.00 ,0.50 ,0.19 ,0.44 ,2.48 ,254.1,26.8,19.9,20.6
명성호,4,14,0.00 ,0.00 ,0.06 ,0.61 ,0.61 ,254.1,27.3,20.1,21.1
명성호,4,15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,254.1,24.5,18.8,22.4
명성호,5,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,5,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,5,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,5,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,5,5,1.75 ,0.25 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,5,6,2.44 ,3.69 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,5,7,1.38 ,8.19 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,5,8,0.31 ,8.69 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,5,9,0.13 ,9.13 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,5,10,0.00 ,9.38 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,5,11,0.00 ,9.38 ,1.44 ,6.09 ,24.18 ,245,25.5,17.5,20.1
명성호,5,12,0.00 ,6.38 ,3.81 ,11.59 ,50.36 ,254.1,26.8,18.9,20.1
명성호,5,13,0.00 ,2.44 ,0.81 ,7.09 ,19.35 ,254.1,26.8,19.9,20.6
명성호,5,14,0.00 ,0.50 ,0.25 ,2.22 ,3.24 ,254.1,27.3,20.1,21.1
명성호,5,15,0.00 ,0.44 ,0.31 ,0.57 ,2.87 ,254.1,24.5,18.8,22.4
명성호,6,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,6,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,6,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,6,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,6,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,6,6,1.00 ,0.19 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,6,7,3.00 ,3.00 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,6,8,1.38 ,6.94 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,6,9,0.13 ,8.44 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,6,10,0.00 ,8.31 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,6,11,0.13 ,8.44 ,0.38 ,0.80 ,4.78 ,245,25.5,17.5,20.1
명성호,6,12,0.00 ,6.88 ,1.13 ,3.26 ,11.88 ,254.1,26.8,18.9,20.1
명성호,6,13,0.00 ,6.13 ,3.31 ,5.46 ,27.04 ,254.1,26.8,19.9,20.6
명성호,6,14,0.00 ,2.06 ,1.19 ,5.45 ,11.49 ,254.1,27.3,20.1,21.1
명성호,6,15,0.00 ,0.31 ,0.06 ,0.63 ,0.63 ,254.1,24.5,18.8,22.4
